"ID","ID2","Item title","Final URL","Image URL","Item subtitle","Item description","Item category","Price","Sale price","Contextual keywords","Item address","Tracking template","Custom parameter","Final mobile URL","Android app link","iOS app link","iOS app store ID","Formatted price","Formatted sale price"
"SX7622_013_S_CNF","","U nk elite crew 132","http://ballzy.eu/et/product/u-nk-elite-crew-132-sx7622-013-s-cnf","https://o.cropink.com/i/p-i/46fccf6b-8b26-4bab-8577-bffdb8a4e4a5","","Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.","Men's Socks","14.00 EUR","","Nike;Black;Basketball;in stock;No;Nike;Male|Female|Children","","","","","","","","",""
"SX7622_100_S_CNF","","U nk elite crew","http://ballzy.eu/et/product/u-nk-elite-crew-sx7622-100-s-cnf","https://o.cropink.com/i/p-i/3f7a5b92-9f34-4721-b31c-db76b2ba65a6","","Nike elite crew' korvpallisokid toetavad tänu võlviribale jalga ja pehmendused strateegilistes kohtades summutavad põrutust, kui sa üle väljaku jooksed. dri-fit-i tehnoloogia aitab sul püsida kuiv ja tunda end mugavalt. Vaata lähemalt ballzy.eu.","Men's Socks","19.00 EUR","","Nike;White;Basketball;in stock;No;Nike;Male|Female|Children","","","","","","","","",""
"SX5544_100_S_CNF","","U j everyday max ankl 3pr","http://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf","https://o.cropink.com/i/p-i/78cafabd-42d4-4b57-b5f8-157be654fd6e","","Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.","Kids' Socks","19.00 EUR","","Nike;White;Lifestyle;in stock;No;Nike;Male|Female|Children","","","","","","","","",""
"6446B_BLK_S_CNF","","Mcd extended leg sleeves","http://ballzy.eu/et/product/mcd-extended-leg-sleeves-6446b-blk-s-cnf","https://o.cropink.com/i/p-i/0bab8c36-7d22-4765-9fb3-a51a52d015c0","","Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.","Kids' Accessories","49.00 EUR","29.00 EUR","Mcdavid;Black;Basketball;in stock;Yes;Mcdavid;Male|Female|Children","","","","","","","","",""
"6446W_WHI_S_CNF","","Mcd extended leg sleeves","http://ballzy.eu/et/product/mcd-extended-leg-sleeves-6446w-whi-s-cnf","https://o.cropink.com/i/p-i/86c2fb8e-3dd4-4a39-bbd6-7a0fd3b2b2b7","","Leg sleeve featuring 9mm hex™ technology is a favorite among pro and collegiate players Vaata lähemalt ballzy.eu.","Kids' Accessories","49.00 EUR","19.00 EUR","Mcdavid;White;Basketball;in stock;Yes;Mcdavid;Male|Female|Children","","","","","","","","",""
"300207401_S_CNF","","Spalding parka","http://ballzy.eu/et/product/spalding-parka-300207401-s-cnf","https://o.cropink.com/i/p-i/e379be1b-1017-40d4-82a1-560350e6b5ce","","Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.","Men's Jackets","140.00 EUR","","Spalding;Black;Basketball;in stock;No;Spalding;Male","","","","","","","","",""
"SX5544_011_S_CNF","","Jumpman qtr 3ppk","http://ballzy.eu/et/product/jumpman-qtr-3ppk-sx5544-011-s-cnf","https://o.cropink.com/i/p-i/bea211ed-c1a7-4c7e-9bf6-22f9a2fe89e8","","Unisex jordan jumpman high-intensity quarter sock (3 pair)unisex jordan jumpman high-intensity quarter sock (3 pair) provides dynamic compression for a fully supportive fit around your foot. low-profile padding cushions your ankle and on the top of your foot to help reduce lace bite.dri-fit technology helps keep you dry and comfortable.strategic padding cushions your ankle.forefoot mesh enhances breathability.ribbed cuffs provide a snug fit.100% te Vaata lähemalt ballzy.eu.","Kids' Socks","17.00 EUR","12.00 EUR","Jordan;Multicolored;Lifestyle;in stock;Yes;Jordan;Male|Female|Children","","","","","","","","",""
"SX5546_011_S_CNF","","Jumpman no-show 3ppk","http://ballzy.eu/et/product/jumpman-no-show-3ppk-sx5546-011-s-cnf","https://o.cropink.com/i/p-i/9ab398b7-1141-4e25-a404-4ae91b1172e7","","Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.","Kids' Socks","17.00 EUR","10.00 EUR","Jordan;Multicolored;Lifestyle;in stock;Yes;Jordan;Male|Female|Children","","","","","","","","",""
"SX5546_100_S_CNF","","U j everyday max ns 3pr","http://ballzy.eu/et/product/u-j-everyday-max-ns-3pr-sx5546-100-s-cnf","https://o.cropink.com/i/p-i/a1eaf022-7f8f-4fc9-9657-47dac1a1004c","","Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.","Women's Socks","19.00 EUR","10.00 EUR","Jordan;White;Lifestyle;in stock;Yes;Jordan;Male|Female","","","","","","","","",""
"921826_001_8.5_CNF","","Nike air max 97","http://ballzy.eu/et/product/nike-air-max-97-921826-001-8-5-cnf","https://o.cropink.com/i/p-i/507b873a-4896-4ea4-9f02-be4d4cc6fd60","","<html><body><p> järgmine peatus: nike air max 97, mille originaalne laineline disain on inspireeritud jaapani kiirrongidest, võimaldab sul oma stiili täie hooga edasi viia. võttes revolutsioonilise täispika nike airi üksuse, mis raputas jooksumaailma, ning lisades sellele värsked värvid ja teravad detailid, saad sõita esmaklassilises mugavuses&hellip; toote omadused: mesh ja sünteetilised materjalid pealsel säilitavad og voolava välimuse, lisades samas mugavust ja vastupidavust&hellip; algselt j Vaata lähemalt ballzy.eu.","Men's Street Shoes","199.00 EUR","","Nike;Black;Lifestyle;in stock;No;Nike;Male","","","","","","","","",""
