"ID","ID2","Item title","Final URL","Image URL","Item subtitle","Item description","Item category","Price","Sale price","Contextual keywords","Item address","Tracking template","Custom parameter","Final mobile URL","Android app link","iOS app link","iOS app store ID","Formatted price","Formatted sale price"
"SX5544_100_S_CNF","","U j everyday max ankl 3pr","http://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf","https://o.cropink.com/i/p-i/8a8ea29f-f4d4-4c7f-b22c-d2fbc12014df","","Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.","Kids' Socks","19.00 EUR","","Nike;White;Lifestyle;in stock;No;Nike;Male|Female|Children","","","","","","","","",""
"SX5544_011_S_CNF","","Jumpman qtr 3ppk","http://ballzy.eu/et/product/jumpman-qtr-3ppk-sx5544-011-s-cnf","https://o.cropink.com/i/p-i/a8a96795-2b6f-4267-b6fb-a13b5b457a27","","Unisex jordan jumpman high-intensity quarter sock (3 pair)unisex jordan jumpman high-intensity quarter sock (3 pair) provides dynamic compression for a fully supportive fit around your foot. low-profile padding cushions your ankle and on the top of your foot to help reduce lace bite.dri-fit technology helps keep you dry and comfortable.strategic padding cushions your ankle.forefoot mesh enhances breathability.ribbed cuffs provide a snug fit.100% te Vaata lähemalt ballzy.eu.","Kids' Socks","17.00 EUR","12.00 EUR","Jordan;Multicolored;Lifestyle;in stock;Yes;Jordan;Male|Female|Children","","","","","","","","",""
"SX5546_011_S_CNF","","Jumpman no-show 3ppk","http://ballzy.eu/et/product/jumpman-no-show-3ppk-sx5546-011-s-cnf","https://o.cropink.com/i/p-i/de799ee3-4ff1-489e-b421-c04f26e6bd8c","","Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.","Kids' Socks","17.00 EUR","10.00 EUR","Jordan;Multicolored;Lifestyle;in stock;Yes;Jordan;Male|Female|Children","","","","","","","","",""
"SX5546_100_S_CNF","","U j everyday max ns 3pr","http://ballzy.eu/et/product/u-j-everyday-max-ns-3pr-sx5546-100-s-cnf","https://o.cropink.com/i/p-i/de713aec-d7cc-4ab7-812e-e690ffaae674","","Unisex jordan jumpman no-show socks (3 pair)unisex jordan jumpman no-show socks (3 pairs) are made with sweat-wicking fabric, mesh panels and arch compression for breathability and a snug, comfortable fit. the heel and toe are reinforced for durability and impact protection.dri-fit technology helps you stay dry and comfortable.mesh panels offer breathability.arch compression provides a snug, comfortable fit.heel and toe are reinforced for durability.righ Vaata lähemalt ballzy.eu.","Women's Socks","19.00 EUR","10.00 EUR","Jordan;White;Lifestyle;in stock;Yes;Jordan;Male|Female","","","","","","","","",""
"921826_001_8.5_CNF","","Nike air max 97","http://ballzy.eu/et/product/nike-air-max-97-921826-001-8-5-cnf","https://o.cropink.com/i/p-i/53b67257-2366-4fd2-b584-f3680806267e","","<html><body><p> järgmine peatus: nike air max 97, mille originaalne laineline disain on inspireeritud jaapani kiirrongidest, võimaldab sul oma stiili täie hooga edasi viia. võttes revolutsioonilise täispika nike airi üksuse, mis raputas jooksumaailma, ning lisades sellele värsked värvid ja teravad detailid, saad sõita esmaklassilises mugavuses&hellip; toote omadused: mesh ja sünteetilised materjalid pealsel säilitavad og voolava välimuse, lisades samas mugavust ja vastupidavust&hellip; algselt j Vaata lähemalt ballzy.eu.","Men's Street Shoes","199.00 EUR","","Nike;Black;Lifestyle;in stock;No;Nike;Male","","","","","","","","",""
"AV3042_100_8_CNF","","Air force 1 flyknit 2.0","http://ballzy.eu/et/product/air-force-1-flyknit-2-0-av3042-100-8-cnf","https://o.cropink.com/i/p-i/591c983d-1c2a-480d-8c51-98bc928827f5","","<html><body><p> kerge kui õhelegend&hellip; nike air force 1 flyknit 2.0, mis on inspireeritud alates 1982. aastast väljakuid valitsevast kingast, toob tagasi af1-i, mis on kergem kui kunagi varem. flyknit-konstruktsioon koos klassikalise af1 disainiliinidega pakub vanakooli korvpallivibuusi, mis on pehmekaaluline&hellip; tooteomadused: nike air tehnoloogia pakub suurepärast pehmendust&hellip; flyknit konstruktsioon kohandub sinu jalale, pakkudes tuge ja kerget tunnetust&hellip; vahtpolster on p Vaata lähemalt ballzy.eu.","Men's Street Shoes","129.00 EUR","","Nike;White;Lifestyle;in stock;No;Nike;Male","","","","","","","","",""
"B75806_8_CNF","","Samba og","http://ballzy.eu/et/product/samba-og-b75806-8-cnf","https://o.cropink.com/i/p-i/1a76bd20-4c23-4bbc-89ab-11f00a2c4064","","<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.","Women's Street Shoes","119.00 EUR","","adidas Originals;White;Lifestyle;in stock;No;adidas Originals;Male|Female","","","","","","","","",""
"B75807_8_CNF","","Samba og","http://ballzy.eu/et/product/samba-og-b75807-8-cnf","https://o.cropink.com/i/p-i/a363e557-5aac-4e6c-9411-20250eaf9375","","<html><body><p> samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga. </p></body></html> Vaata lähemalt ballzy.eu.","Kids' Street Shoes","119.00 EUR","","adidas Originals;Black;Lifestyle;in stock;No;adidas Originals;Male|Female|Children","","","","","","","","",""
"SX7664_100_S_CNF","","U nk everyday cush crew 3 pairs","http://ballzy.eu/et/product/u-nk-everyday-cush-crew-3-pairs-sx7664-100-s-cnf","https://o.cropink.com/i/p-i/5970530f-e8a4-4291-8739-4c4f5ebd526c","","<html><body><p> nike everyday cushioned sokid annavad jõudu treeningule. higi ärajuhtiv tehnoloogia aitab sind kuivana ja jahedana hoida, samas kui paks froteepõhi annab sulle mugavust intensiivsete tõste ja lisakilomeetrite läbimiseks. sokkide paelaga kaetud kaareosa on su jala ümber mugav ja toetav. 3 paari pakend tähendab, et teil on alati varuplaan&hellip; toote omadused: nike dri-fit-tehnoloogia juhib higi nahast eemale, et see aurustuks kiiremini, aidates sul kuivana ja mugavalt püsida.'.  Vaata lähemalt ballzy.eu.","Kids' Socks","24.00 EUR","","Nike;White;Lifestyle;in stock;No;Nike;Male|Female|Children","","","","","","","","",""
"SX5544_010_S_CNF","","U j everyday max ankl 3pr","http://ballzy.eu/et/product/u-j-everyday-max-ankl-3pr-sx5544-010-s-cnf","https://o.cropink.com/i/p-i/aa1dc3ba-fe4e-4400-9de3-3ae7d875875b","","Spordiriided ballzy veebipoest. Vaata lähemalt ballzy.eu.","Men's Socks","17.00 EUR","","Jordan;Black;Lifestyle;in stock;No;Jordan;Male","","","","","","","","",""
